Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.143784 seconds
Method: GET, Path: /admin, View function: None, Status code: 404, Time taken: 0.000000 seconds
Method: GET, Path: /admin/, View function: index, Status code: 302, Time taken: 0.028570 seconds
Method: GET, Path: /admin/login/, View function: login, Status code: 200, Time taken: 0.107026 seconds
Method: GET, Path: /customer, View function: None, Status code: 404, Time taken: 0.005001 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.418548 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.016066 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.006388 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.000000 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.010334 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.006996 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.005075 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.011677 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.018512 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.019979 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.015034 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.007025 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.009353 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.015657 seconds
Method: GET, Path: /customer/view_cat/3, View function: viewCatList, Status code: 200, Time taken: 0.117922 seconds
Method: GET, Path: /customer/view_cat/4, View function: viewCatList, Status code: 200, Time taken: 0.013844 seconds
Method: GET, Path: /customer/view_cat/1, View function: viewCatList, Status code: 200, Time taken: 0.019083 seconds
Method: GET, Path: /customer/dashboard, View function: customer_dashboard, Status code: 200, Time taken: 0.138621 seconds
Method: GET, Path: /customer/return_order/26, View function: return_order, Status code: 200, Time taken: 0.592334 seconds
Method: GET, Path: /customer/orders, View function: customer_orders, Status code: 200, Time taken: 0.055887 seconds
Method: GET, Path: /customer/dashboard, View function: customer_dashboard, Status code: 200, Time taken: 0.029310 seconds
Method: GET, Path: /customer/cancel_order/18, View function: cancel_order, Status code: 200, Time taken: 0.493489 seconds
Method: GET, Path: /customer/orders, View function: customer_orders, Status code: 200, Time taken: 0.049976 seconds
Method: GET, Path: /customer/dashboard, View function: customer_dashboard, Status code: 200, Time taken: 0.029542 seconds
Method: GET, Path: /customer/view_order/26, View function: view_customer_order, Status code: 200, Time taken: 0.120405 seconds
Method: GET, Path: /customer/dashboard, View function: customer_dashboard, Status code: 200, Time taken: 0.036681 seconds
Method: GET, Path: /customer/dashboard, View function: customer_dashboard, Status code: 200, Time taken: 0.020383 seconds
Method: GET, Path: /customer/orders, View function: customer_orders, Status code: 200, Time taken: 0.042677 seconds
Method: GET, Path: /customer/my_address, View function: view_customer_address, Status code: 200, Time taken: 0.083821 seconds
Method: GET, Path: /api, View function: None, Status code: 404, Time taken: 0.009315 seconds
Method: GET, Path: /api/, View function: view, Status code: 200, Time taken: 0.189250 seconds
